id,name,season,defence_clean sheets,defence_goals conceded,defence_tackles,defence_tackle success %,defence_last man tackles,defence_blocked shots,defence_interceptions,defence_clearances,defence_headed clearance,defence_clearances off line,defence_recoveries,defence_duels won,defence_duels lost,defence_successful 50/50s,defence_aerial battles won,defence_aerial battles lost,defence_own goals,defence_errors leading to goal,teamplay_goals,teamplay_assists,teamplay_passes,teamplay_passes per match,teamplay_big chances created,teamplay_crosses,teamplay_cross accuracy %,teamplay_through balls,teamplay_accurate long balls,discipline_yellow cards,discipline_red cards,discipline_fouls,discipline_offsides,attack_goals,attack_goals per match,attack_headed goals,attack_goals with right foot,attack_goals with left foot,attack_penalties scored,attack_freekicks scored,attack_shots,attack_shots on target,attack_shooting accuracy %,attack_hit woodwork,attack_big chances missed,goalkeeping_saves,goalkeeping_penalties saved,goalkeeping_punches,goalkeeping_high claims,goalkeeping_catches,goalkeeping_sweeper clearances,goalkeeping_throw outs,goalkeeping_goal kicks
p101178,James Ward-Prowse,2019/20,0,0,92,52,0,14,60,71,38,0,249,218,202,14,73,65,0,0,0,3,"1,666",43.84,7,267,22,2,81,9,0,57,0,5,0.13,0,4,1,1,2,57,26,46,1,5,0,0,0,0,0,0,0,0
p233425,Aaron Connolly,2019/20,0,0,7,0,0,13,0,3,2,0,0,0,0,0,0,0,0,0,0,1,146,6.08,1,9,0,0,0,0,0,16,14,3,0.13,0,3,0,0,0,38,14,37,0,5,0,0,0,0,0,0,0,0
p171771,Jan Bednarek,2019/20,7,57,65,58,1,1,77,193,90,0,161,204,109,2,127,47,1,3,0,1,"1,537",45.21,1,1,0,0,85,4,0,33,0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p17761,James Tarkowski,2020/21,11,50,66,59,1,1,44,159,92,4,160,272,128,12,165,73,0,1,0,0,"1,259",34.97,1,6,33,0,130,6,0,27,3,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p149484,Tyrone Mings,2019/20,6,53,15,73,0,0,30,189,83,3,201,105,70,12,67,46,0,2,0,2,"1,384",41.94,1,7,14,0,117,7,0,20,2,2,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p87447,Muhamed Besic,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p448487,Andreas Söndergaard,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p218031,Çaglar Söyüncü,2021/22,5,44,47,64,2,1,32,112,61,0,164,157,94,4,92,48,0,1,0,0,"1,920",68.57,0,5,40,2,86,5,0,24,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p120250,André Gomes,2018/19,0,0,39,59,0,5,20,18,11,0,178,140,192,40,38,32,0,0,0,1,"1,200",44.44,1,16,19,1,95,7,0,49,0,1,0.04,0,1,0,0,0,21,5,24,0,1,0,0,0,0,0,0,0,0
p40845,Dale Stephens,2021/22,0,0,4,25,0,0,1,1,0,0,7,4,12,0,0,2,0,0,0,0,57,19.0,0,0,0,0,4,1,0,5,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
p78056,Oriol Romeu,2019/20,0,0,55,64,0,5,34,30,11,0,152,126,130,13,42,39,0,0,0,0,"1,076",35.87,4,6,50,1,46,5,0,39,1,0,0.0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
p175941,Alfie Whiteman,2019/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p232881,Thakgalo Leshabela,2020/21,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,7,7.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p199598,Ethan Ampadu,2020/21,2,41,57,63,0,1,49,83,35,0,114,147,86,13,52,29,1,1,0,0,"1,006",40.24,2,19,32,0,56,3,0,25,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p94147,Conor Coady,2019/20,13,40,36,64,3,0,28,117,65,0,244,80,56,4,33,24,0,2,0,0,"1,849",48.66,1,0,0,4,286,5,0,17,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p171427,Daniel Barlaser,2018/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
