home/name,away/name,home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home_result,season
Sheffield United,Burnley,172649,146610,40386,108416,-1,-1,82691,63426,47247,153723,79934,178304,27436,-1,98747,51927,68983,17761,39487,83314,40145,433154,60551,-1,44683,44699,-1,win,2019/20
Watford,Chelsea,9089,60232,52940,155651,41338,85624,121599,89085,94924,61566,-1,73426,-1,-1,109745,109533,41328,194794,103192,91651,47431,184341,176413,85955,173879,-1,-1,lose,2019/20
West Ham United,Newcastle United,40694,55459,20658,219924,166640,-1,101537,18987,18073,204480,56377,103123,-1,-1,67089,92159,101148,57145,58845,170137,153127,179018,50232,-1,180974,-1,-1,lose,2019/20
Burnley,West Ham United,98747,51927,103914,17761,17997,-1,83314,40145,433154,60551,-1,60689,44699,-1,40694,55459,81012,219924,166640,18987,18073,204480,101537,-1,217593,103123,-1,win,2019/20
Chelsea,Crystal Palace,109745,109533,225796,194794,103192,-1,91651,184341,47431,176413,116594,173879,-1,-1,40836,74230,19419,49413,55494,60252,82403,50471,66975,55037,80146,-1,-1,win,2019/20
Leicester City,Arsenal,17745,218031,111931,37642,172850,-1,166989,172780,201666,168580,203341,101668,-1,-1,80201,101184,156074,41270,-1,198849,98745,242166,111457,-1,37605,54694,59966,win,2019/20
Liverpool,Manchester City,116535,122798,169187,38454,97032,-1,41733,56979,116643,-1,-1,110979,118748,92217,33148,58621,97299,145235,27789,59859,61366,165809,103955,220566,37572,-1,-1,win,2019/20
Manchester United,Brighton and Hove Albion,51940,214590,184667,95658,232937,-1,176297,200617,101582,156689,195851,148225,-1,-1,131897,86153,61933,78916,83299,66242,40845,235382,116216,-1,115382,233425,-1,win,2019/20
Newcastle United,Bournemouth,67089,92159,101148,57145,58845,151119,170137,153127,179018,50232,-1,180974,-1,-1,225321,126184,56917,54469,171129,168991,153682,155408,90105,-1,75115,78007,-1,win,2019/20
Norwich City,Watford,20480,194799,198826,232980,18665,-1,195546,71738,90440,78607,89470,57127,-1,-1,9089,60232,52940,41338,40868,121599,108413,38439,-1,-1,94924,61566,-1,lose,2019/20
Southampton,Everton,58376,171771,88900,93100,-1,-1,101178,91047,58822,78056,-1,84939,83283,431131,111234,164511,194164,101188,102747,212319,42774,55422,173807,20467,66838,-1,-1,lose,2019/20
Tottenham Hotspur,Sheffield United,102884,93264,115556,173904,80226,-1,85971,200826,108823,45268,231372,78830,-1,-1,172649,146610,40386,108416,-1,82691,63426,47247,153723,79934,178304,27436,-1,draw,2019/20
Wolverhampton Wanderers,Aston Villa,38533,107613,151589,94147,-1,-1,171317,114128,19624,87835,-1,102057,159533,194634,79852,199798,203368,149484,169359,122806,230046,184704,-1,-1,148508,193488,213345,win,2019/20
Arsenal,Southampton,80201,101184,39476,41270,-1,-1,198849,192895,98745,242166,-1,37605,54694,59966,58376,171771,58822,88900,40146,101178,83283,132015,91047,-1,84939,220598,-1,draw,2019/20
Aston Villa,Newcastle United,21205,199798,203368,149484,169359,-1,122806,230046,85242,-1,-1,193488,213345,114283,67089,106618,92159,57145,58845,170137,153127,179018,50232,-1,180974,-1,-1,win,2019/20
Bournemouth,Wolverhampton Wanderers,225321,126184,56917,15149,-1,-1,171129,54469,168991,155408,-1,75115,90105,153682,38533,107613,151589,94147,-1,171317,114128,19624,87835,-1,102057,159533,194634,lose,2019/20
Brighton and Hove Albion,Leicester City,131897,110735,78916,61933,-1,-1,109345,40845,86153,66242,-1,115382,116216,74471,17745,218031,111931,37642,172850,166989,172780,201666,168580,203341,101668,-1,-1,lose,2019/20
Crystal Palace,Liverpool,40836,74230,19419,49413,55494,-1,60252,82403,50471,66975,55037,80146,-1,-1,116535,122798,169187,38454,97032,41733,56979,116643,-1,-1,92217,81880,110979,lose,2019/20
